www.test1.com,data,structure,objects,array,vector
www.test2.com,data structure,graphs,edges,weighted,directed
www.test3.com,time,complexity,objects,cost,space
www.test4.com,directed,graphs,structure,edges,weighted
www.test5.com,cost,space,complexity,time,array
www.test6.com,vector,array,matrix,sort,algorithms
www.test7.com,maps,network,pairs,objects,undirected
www.test8.com,edges,network,graphs,undirected,weighted
www.test9.com,space,time,algorithms,design,analysis
www.test10.com,time,complexity,structure,data,cost
